Work ID,State,District,Constituency,Hon'ble MP,Tenure,Category,Work Title,Location,Recommended Amount (₹),Sanctioned Amount (₹),Released Amount (₹),Expenditure (₹),Recommendation Date,Sanction Date,Start Date,Completion Date,Status,Implementing Agency,Contractor Name,Latitude,Longitude,Data Source Portal
MOSPI-2023-MA-0123,Madhya Pradesh,Indore,Indore,Shankar Lalwani,17th Lok Sabha,Sanitation,Deployment of Battery-Operated Door-to-Door Solid Waste Collection E-Vehicles at Indore,"Indore Sub-Division, Madhya Pradesh",2220000,1950000,0.0,0.0,2023-12-31,,,,Recommended,PWD Gwalior Division,Himalayan Engineering Associates,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-MA-0124,Maharashtra,Pune,Pune,Murlidhar Mohol,17th Lok Sabha,Road & Connectivity,Bituminous Surface Renewal of Village Approach Road to National Highway at Pune,"Pune Sub-Division, Maharashtra",2180000,1950000,1500000,1230000,2023-04-30,2023-07-24,2023-08-15,,Ongoing,Zilla Parishad Pune (Works Dept),Himalayan Engineering Associates,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-MA-0125,Maharashtra,Kolhapur,Kolhapur,Sanjay Mandlik,18th Lok Sabha,Sports Facility,Development of Public Sports Ground with Running Track and Floodlighting at Kolhapur,"Kolhapur Sub-Division, Maharashtra",3540000,3530000,2210000,310000,2024-03-11,2024-05-01,,,Sanctioned,Nashik Municipal Corporation,National Rural Infrastructure Corp,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-MA-0126,Madhya Pradesh,Bhopal,Bhopal,Sadhvi Pragya Singh Thakur,17th Lok Sabha,Education,Supply of Dual Desks and Laboratory Equipment to Rural High Schools at Bhopal,"Bhopal Sub-Division, Madhya Pradesh",4470000,4250000,3690000,470000,2023-08-16,2023-09-08,,,Sanctioned,Indore Development Authority,,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-TA-0127,Tamil Nadu,Salem,Salem,S. R. Parthiban,17th Lok Sabha,Education,Establishment of Digital Smart Classrooms and STEM Lab in Govt Higher Secondary School at Salem,"Salem Sub-Division, Tamil Nadu",1780000,1630000,1140000,1650000,2023-10-01,2023-11-13,2023-12-24,2024-07-18,Completed,PWD Buildings Division Chennai,Deccan Infrastructure Ltd,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-WE-0128,West Bengal,Kolkata,Kolkata South,Mala Roy,18th Lok Sabha,Community Infrastructure,Development of Rural Haat and Market Shed with Raised Concrete Platform at Kolkata,"Kolkata Sub-Division, West Bengal",1490000,1390000,0.0,0.0,2024-09-02,,,,Recommended,PWD North 24 Parganas,Himalayan Engineering Associates,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-TA-0129,Tamil Nadu,Tiruchirappalli,Tiruchirappalli,Su. Thirunavukkarasar,18th Lok Sabha,Community Infrastructure,Development of Rural Haat and Market Shed with Raised Concrete Platform at Tiruchirappalli,"Tiruchirappalli Sub-Division, Tamil Nadu",5160000,4640000,4220000,2110000,2024-01-04,2024-02-29,2024-04-06,,Ongoing,TWAD Board Madurai,,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-RA-0130,Rajasthan,Kota,Kota,Om Birla,18th Lok Sabha,Community Infrastructure,Erection of High-Mast Solar LED Tower Lights in Public Market Squares at Kota,"Kota Sub-Division, Rajasthan",1200000,1140000,1050000,1100000,2024-01-19,2024-02-23,2024-03-30,2025-01-11,Completed,PWD Road Division Jaipur,National Rural Infrastructure Corp,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-RA-0131,Rajasthan,Jodhpur,Jodhpur,Gajendra Singh Shekhawat,18th Lok Sabha,Solar & Renewable Energy,Installation of Integrated Solar Street Lighting Network in Un-electrified Hamlets at Jodhpur,"Jodhpur Sub-Division, Rajasthan",2910000,2820000,1720000,1120000,2024-06-28,2024-08-31,2024-09-22,,Ongoing,PWD Road Division Jaipur,Sunrise Civil Works,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-MA-0132,Maharashtra,Kolhapur,Kolhapur,Sanjay Mandlik,17th Lok Sabha,Sanitation,Installation of Bio-Toilets at Public Bus Stands and Weekly Market Yards at Kolhapur,"Kolhapur Sub-Division, Maharashtra",2290000,2070000,1300000,1110000,2023-11-23,2024-01-09,2024-01-21,,Ongoing,Zilla Parishad Pune (Works Dept),Sunrise Civil Works,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-WE-0133,West Bengal,North 24 Parganas,Barasat,Kakoli Ghosh Dastidar,18th Lok Sabha,Education,Supply of Dual Desks and Laboratory Equipment to Rural High Schools at North 24 Parganas,"North 24 Parganas Sub-Division, West Bengal",1360000,1250000,1180000,1090000,2024-05-17,2024-06-15,2024-07-27,,Ongoing,Howrah Zilla Parishad,Sunrise Civil Works,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-AS-0134,Assam,Dibrugarh,Dibrugarh,Rameswar Teli,17th Lok Sabha,Solar & Renewable Energy,Installation of Integrated Solar Street Lighting Network in Un-electrified Hamlets at Dibrugarh,"Dibrugarh Sub-Division, Assam",3030000,2910000,2200000,970000,2023-08-29,2023-09-14,2023-10-05,,Ongoing,Guwahati Municipal Corporation,Vanguard Projects India,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-WE-0135,West Bengal,Kolkata,Kolkata South,Mala Roy,18th Lok Sabha,Community Infrastructure,Erection of High-Mast Solar LED Tower Lights in Public Market Squares at Kolkata,"Kolkata Sub-Division, West Bengal",4490000,4010000,3120000,4090000,2024-04-22,2024-07-12,2024-08-23,2025-07-31,Completed,Howrah Zilla Parishad,Sunrise Civil Works,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-MA-0136,Maharashtra,Thane,Thane,Rajan Vichare,18th Lok Sabha,Solar & Renewable Energy,Installation of 25 kWp Grid-Tied Rooftop Solar PV System on Govt Hospital at Thane,"Thane Sub-Division, Maharashtra",1500000,1430000,0.0,0.0,2024-04-16,,,,Recommended,Maharashtra Jeevan Pradhikaran,Apex Engineering & Projects,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-MA-0137,Madhya Pradesh,Indore,Indore,Shankar Lalwani,18th Lok Sabha,Solar & Renewable Energy,Installation of 25 kWp Grid-Tied Rooftop Solar PV System on Govt Hospital at Indore,"Indore Sub-Division, Madhya Pradesh",1200000,1130000,760000,670000,2024-07-10,2024-08-02,2024-09-12,,Ongoing,Bhopal Municipal Corporation,Sunrise Civil Works,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-KA-0138,Karnataka,Bengaluru Urban,Bangalore South,Tejasvi Surya,17th Lok Sabha,Healthcare,Construction of New Primary Health Sub-Centre Building with Staff Quarters at Bengaluru Urban,"Bengaluru Urban Sub-Division, Karnataka",1600000,1580000,1060000,1570000,2023-10-27,2023-12-22,2024-01-30,2024-10-20,Completed,Mysuru Zilla Panchayat,Deccan Infrastructure Ltd,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-AS-0139,Assam,Dibrugarh,Dibrugarh,Rameswar Teli,18th Lok Sabha,Sanitation,Deployment of Battery-Operated Door-to-Door Solid Waste Collection E-Vehicles at Dibrugarh,"Dibrugarh Sub-Division, Assam",1420000,1400000,900000,650000,2024-11-10,2024-12-17,2025-01-09,,Ongoing,PWD (Roads) Jorhat,Deccan Infrastructure Ltd,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-MA-0140,Maharashtra,Thane,Thane,Rajan Vichare,18th Lok Sabha,Community Infrastructure,Construction of Multipurpose Community Hall for Public Cultural and Civic Events at Thane,"Thane Sub-Division, Maharashtra",5140000,4940000,3600000,4620000,2024-11-09,2024-12-20,2025-01-30,2026-01-18,Completed,Nashik Municipal Corporation,,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-KA-0141,Karnataka,Dakshina Kannada,Dakshina Kannada,Nalin Kumar Kateel,18th Lok Sabha,Sanitation,Deployment of Battery-Operated Door-to-Door Solid Waste Collection E-Vehicles at Dakshina Kannada,"Dakshina Kannada Sub-Division, Karnataka",840000,810000,540000,330000,2024-10-15,2024-12-31,2025-02-09,,Ongoing,Bruhat Bengaluru Mahanagara Palike (BBMP),National Rural Infrastructure Corp,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-TA-0142,Tamil Nadu,Coimbatore,Coimbatore,P. R. Natarajan,18th Lok Sabha,Drinking Water,Provision of Community Water ATMs at Public Transit Hubs at Coimbatore,"Coimbatore Sub-Division, Tamil Nadu",1520000,1410000,1020000,1440000,2024-02-02,2024-03-15,2024-04-06,2024-12-24,Completed,PWD Buildings Division Chennai,Apex Engineering & Projects,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-MA-0143,Maharashtra,Nashik,Nashik,Hemant Godse,18th Lok Sabha,Community Infrastructure,Erection of High-Mast Solar LED Tower Lights in Public Market Squares at Nashik,"Nashik Sub-Division, Maharashtra",2210000,1990000,1430000,1310000,2024-04-26,2024-06-30,2024-07-20,,Ongoing,Maharashtra Jeevan Pradhikaran,Deccan Infrastructure Ltd,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-MA-0144,Maharashtra,Nagpur,Nagpur,Nitin Gadkari,17th Lok Sabha,Healthcare,Construction of New Primary Health Sub-Centre Building with Staff Quarters at Nagpur,"Nagpur Sub-Division, Maharashtra",6050000,5470000,4670000,2820000,2023-06-11,2023-07-06,2023-08-09,,Ongoing,Nashik Municipal Corporation,Pragati Buildcon Services,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-RA-0145,Rajasthan,Kota,Kota,Om Birla,18th Lok Sabha,Drinking Water,Piped Drinking Water Supply Augmentation in Backward Wards at Kota,"Kota Sub-Division, Rajasthan",1990000,1970000,1970000,950000,2024-05-12,2024-07-11,2024-08-09,,Ongoing,Ajmer Zila Parishad,Vanguard Projects India,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-RA-0146,Rajasthan,Jaipur,Jaipur,Ramcharan Bohra,18th Lok Sabha,Drinking Water,Provision of Community Water ATMs at Public Transit Hubs at Jaipur,"Jaipur Sub-Division, Rajasthan",900000,800000,580000,540000,2024-07-04,2024-08-10,2024-08-30,,Ongoing,PWD Road Division Jaipur,Apex Engineering & Projects,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-TA-0147,Tamil Nadu,Madurai,Madurai,Su. Venkatesan,17th Lok Sabha,Sports Facility,Construction of Synthetic Badminton Court and Indoor Recreational Facility at Madurai,"Madurai Sub-Division, Tamil Nadu",1780000,1630000,1000000,100000,2023-11-12,2023-12-27,,,Sanctioned,PWD Buildings Division Chennai,Pragati Buildcon Services,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-TA-0148,Tamil Nadu,Tiruchirappalli,Tiruchirappalli,Su. Thirunavukkarasar,17th Lok Sabha,Healthcare,Provision of Advanced Life Support Mobile Ambulance Unit for Sub-Divisional Hospital at Tiruchirappalli,"Tiruchirappalli Sub-Division, Tamil Nadu",5790000,5490000,3810000,2180000,2023-12-01,2024-01-18,2024-02-15,,Ongoing,DRDA Chennai,Standard Technical Contractors,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-WE-0149,West Bengal,Darjeeling,Darjeeling,Raju Bista,17th Lok Sabha,Healthcare,Construction of New Primary Health Sub-Centre Building with Staff Quarters at Darjeeling,"Darjeeling Sub-Division, West Bengal",4080000,3660000,2480000,1120000,2023-10-13,2024-01-07,2024-02-14,,Ongoing,Howrah Zilla Parishad,Shiva Shakti Constructions,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2025-MA-0150,Madhya Pradesh,Gwalior,Gwalior,Vivek Narayan Shejwalkar,18th Lok Sabha,Community Infrastructure,Erection of High-Mast Solar LED Tower Lights in Public Market Squares at Gwalior,"Gwalior Sub-Division, Madhya Pradesh",3170000,2990000,2190000,3100000,2025-01-21,2025-04-16,2025-05-09,2026-04-06,Completed,Bhopal Municipal Corporation,Himalayan Engineering Associates,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-UT-0151,Uttar Pradesh,Kanpur Nagar,Kanpur,Satyadev Pachauri,18th Lok Sabha,Community Infrastructure,Construction of Modern Anganwadi Centre Building with Child-Friendly Amenities at Kanpur Nagar,"Kanpur Nagar Sub-Division, Uttar Pradesh",3010000,2710000,2140000,2660000,2024-11-03,2024-11-24,2025-01-07,2025-10-20,Completed,DRDA Gorakhpur,Deccan Infrastructure Ltd,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-AS-0152,Assam,Kamrup Metropolitan,Gauhati,Queen Oja,18th Lok Sabha,Sports Facility,Installation of Open Air Gymnasium Equipment in Municipal Public Park at Kamrup Metropolitan,"Kamrup Metropolitan Sub-Division, Assam",3370000,3210000,2560000,3120000,2024-10-16,2024-11-01,2024-11-28,2025-06-11,Completed,Guwahati Municipal Corporation,Deccan Infrastructure Ltd,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-UT-0153,Uttar Pradesh,Gorakhpur,Gorakhpur,Ravi Kishan,17th Lok Sabha,Sanitation,Installation of Bio-Toilets at Public Bus Stands and Weekly Market Yards at Gorakhpur,"Gorakhpur Sub-Division, Uttar Pradesh",1880000,1830000,1790000,1900000,2023-09-01,2023-09-25,2023-10-30,2024-07-19,Completed,UP Jal Nigam Lucknow,Vanguard Projects India,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-UT-0154,Uttar Pradesh,Gorakhpur,Gorakhpur,Ravi Kishan,18th Lok Sabha,Community Infrastructure,Construction of Multipurpose Community Hall for Public Cultural and Civic Events at Gorakhpur,"Gorakhpur Sub-Division, Uttar Pradesh",3230000,3000000,2220000,340000,2024-09-13,2024-10-26,,,Sanctioned,UP Jal Nigam Lucknow,Deccan Infrastructure Ltd,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-AS-0155,Assam,Kamrup Metropolitan,Gauhati,Queen Oja,18th Lok Sabha,Education,Construction of Additional Classrooms and Girls Common Room in Govt College at Kamrup Metropolitan,"Kamrup Metropolitan Sub-Division, Assam",4590000,4300000,3440000,1470000,2024-05-09,2024-07-11,2024-08-20,,Ongoing,DRDA Dibrugarh,National Rural Infrastructure Corp,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-KA-0156,Karnataka,Dakshina Kannada,Dakshina Kannada,Nalin Kumar Kateel,18th Lok Sabha,Solar & Renewable Energy,Installation of Integrated Solar Street Lighting Network in Un-electrified Hamlets at Dakshina Kannada,"Dakshina Kannada Sub-Division, Karnataka",1990000,1850000,1600000,1810000,2024-07-09,2024-09-17,2024-09-30,2025-04-04,Completed,DRDA Dharwad,Shiva Shakti Constructions,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-RA-0157,Rajasthan,Udaipur,Udaipur,Arjun Lal Meena,18th Lok Sabha,Sports Facility,Construction of Synthetic Badminton Court and Indoor Recreational Facility at Udaipur,"Udaipur Sub-Division, Rajasthan",1800000,1750000,1520000,1810000,2024-03-08,2024-04-26,2024-06-04,2025-01-22,Completed,Kota Urban Improvement Trust,Vanguard Projects India,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-RA-0158,Rajasthan,Jodhpur,Jodhpur,Gajendra Singh Shekhawat,18th Lok Sabha,Solar & Renewable Energy,Installation of 25 kWp Grid-Tied Rooftop Solar PV System on Govt Hospital at Jodhpur,"Jodhpur Sub-Division, Rajasthan",2730000,2450000,0.0,0.0,2024-05-03,,,,Recommended,Public Health Engineering Dept (PHED) Jodhpur,National Rural Infrastructure Corp,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-KA-0159,Karnataka,Dakshina Kannada,Dakshina Kannada,Nalin Kumar Kateel,17th Lok Sabha,Education,Establishment of Digital Smart Classrooms and STEM Lab in Govt Higher Secondary School at Dakshina Kannada,"Dakshina Kannada Sub-Division, Karnataka",4290000,3820000,2650000,3730000,2023-10-06,2023-10-27,2023-11-26,2024-08-01,Completed,Bruhat Bengaluru Mahanagara Palike (BBMP),Standard Technical Contractors,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-MA-0160,Maharashtra,Nashik,Nashik,Hemant Godse,18th Lok Sabha,Healthcare,Construction of New Primary Health Sub-Centre Building with Staff Quarters at Nashik,"Nashik Sub-Division, Maharashtra",3660000,3400000,2070000,290000,2024-01-20,2024-03-08,,,Sanctioned,PWD Division Nagpur,Vanguard Projects India,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-MA-0161,Maharashtra,Thane,Thane,Rajan Vichare,18th Lok Sabha,Sports Facility,Installation of Open Air Gymnasium Equipment in Municipal Public Park at Thane,"Thane Sub-Division, Maharashtra",1860000,1660000,1580000,1230000,2024-04-17,2024-06-15,2024-07-15,,Ongoing,PWD Division Nagpur,Deccan Infrastructure Ltd,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-KA-0162,Karnataka,Dakshina Kannada,Dakshina Kannada,Nalin Kumar Kateel,17th Lok Sabha,Sports Facility,Development of Public Sports Ground with Running Track and Floodlighting at Dakshina Kannada,"Dakshina Kannada Sub-Division, Karnataka",680000,670000,420000,650000,2023-10-08,2023-12-18,2024-01-26,2024-08-09,Completed,Mysuru Zilla Panchayat,Sunrise Civil Works,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2025-AS-0163,Assam,Kamrup Metropolitan,Gauhati,Queen Oja,18th Lok Sabha,Solar & Renewable Energy,Installation of Integrated Solar Street Lighting Network in Un-electrified Hamlets at Kamrup Metropolitan,"Kamrup Metropolitan Sub-Division, Assam",900000,860000,710000,850000,2025-02-18,2025-04-09,2025-04-20,2025-11-03,Completed,PWD (Roads) Jorhat,,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-AS-0164,Assam,Jorhat,Jorhat,Topon Kumar Gogoi,18th Lok Sabha,Sports Facility,Development of Public Sports Ground with Running Track and Floodlighting at Jorhat,"Jorhat Sub-Division, Assam",1000000,950000,810000,880000,2024-06-30,2024-07-29,2024-09-12,2025-05-19,Completed,DRDA Dibrugarh,Deccan Infrastructure Ltd,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-UT-0165,Uttar Pradesh,Gorakhpur,Gorakhpur,Ravi Kishan,17th Lok Sabha,Community Infrastructure,Development of Rural Haat and Market Shed with Raised Concrete Platform at Gorakhpur,"Gorakhpur Sub-Division, Uttar Pradesh",5090000,4870000,4090000,3860000,2023-12-15,2024-02-06,2024-02-16,,Ongoing,Prayagraj Zila Panchayat,Pragati Buildcon Services,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-UT-0166,Uttar Pradesh,Lucknow,Lucknow,Rajnath Singh,18th Lok Sabha,Sports Facility,Development of Public Sports Ground with Running Track and Floodlighting at Lucknow,"Lucknow Sub-Division, Uttar Pradesh",2370000,2080000,1690000,970000,2024-03-22,2024-04-20,2024-05-02,,Ongoing,Prayagraj Zila Panchayat,Deccan Infrastructure Ltd,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-MA-0167,Madhya Pradesh,Bhopal,Bhopal,Sadhvi Pragya Singh Thakur,18th Lok Sabha,Road & Connectivity,Paver Block Pavement and Footpath Construction in Residential Settlement at Bhopal,"Bhopal Sub-Division, Madhya Pradesh",4010000,3860000,0.0,0.0,2024-11-09,,,,Recommended,PWD Gwalior Division,Shiva Shakti Constructions,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-UT-0168,Uttar Pradesh,Gorakhpur,Gorakhpur,Ravi Kishan,18th Lok Sabha,Sanitation,Installation of Bio-Toilets at Public Bus Stands and Weekly Market Yards at Gorakhpur,"Gorakhpur Sub-Division, Uttar Pradesh",860000,780000,710000,760000,2024-08-30,2024-11-16,2024-12-15,2025-09-04,Completed,PWD Provincial Division Varanasi,Himalayan Engineering Associates,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-KA-0169,Karnataka,Belagavi,Belgaum,Mangala Angadi,18th Lok Sabha,Healthcare,Provision of Advanced Life Support Mobile Ambulance Unit for Sub-Divisional Hospital at Belagavi,"Belagavi Sub-Division, Karnataka",6740000,6410000,3910000,3660000,2024-03-01,2024-03-26,2024-05-03,,Ongoing,Mysuru Zilla Panchayat,Apex Engineering & Projects,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-MA-0170,Maharashtra,Thane,Thane,Rajan Vichare,17th Lok Sabha,Education,Modernization of School Library and Computer Learning Centre at Thane,"Thane Sub-Division, Maharashtra",4210000,4090000,3470000,2120000,2023-07-12,2023-09-20,2023-10-11,,Ongoing,PWD Division Nagpur,Sri Krishna Infra Projects,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-RA-0171,Rajasthan,Kota,Kota,Om Birla,18th Lok Sabha,Sanitation,Deployment of Battery-Operated Door-to-Door Solid Waste Collection E-Vehicles at Kota,"Kota Sub-Division, Rajasthan",1560000,1480000,910000,390000,2024-12-16,2025-03-03,2025-04-11,,Ongoing,Public Health Engineering Dept (PHED) Jodhpur,Pragati Buildcon Services,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-AS-0172,Assam,Jorhat,Jorhat,Topon Kumar Gogoi,17th Lok Sabha,Solar & Renewable Energy,Installation of Integrated Solar Street Lighting Network in Un-electrified Hamlets at Jorhat,"Jorhat Sub-Division, Assam",790000,780000,630000,730000,2023-10-22,2023-11-23,2023-12-05,2024-06-17,Completed,DRDA Dibrugarh,Deccan Infrastructure Ltd,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2025-AS-0173,Assam,Kamrup Metropolitan,Gauhati,Queen Oja,18th Lok Sabha,Road & Connectivity,Paver Block Pavement and Footpath Construction in Residential Settlement at Kamrup Metropolitan,"Kamrup Metropolitan Sub-Division, Assam",7140000,6970000,6510000,920000,2025-01-22,2025-02-28,,,Sanctioned,Guwahati Municipal Corporation,Apex Engineering & Projects,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-RA-0174,Rajasthan,Jaipur,Jaipur,Ramcharan Bohra,17th Lok Sabha,Education,Establishment of Digital Smart Classrooms and STEM Lab in Govt Higher Secondary School at Jaipur,"Jaipur Sub-Division, Rajasthan",1730000,1550000,1470000,1510000,2023-04-17,2023-05-06,2023-05-21,2023-11-09,Completed,DRDA Udaipur,Sunrise Civil Works,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-MA-0175,Madhya Pradesh,Indore,Indore,Shankar Lalwani,17th Lok Sabha,Healthcare,Construction of New Primary Health Sub-Centre Building with Staff Quarters at Indore,"Indore Sub-Division, Madhya Pradesh",5320000,4630000,0.0,0.0,2023-11-26,,,,Recommended,Bhopal Municipal Corporation,Sri Krishna Infra Projects,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-AS-0176,Assam,Dibrugarh,Dibrugarh,Rameswar Teli,18th Lok Sabha,Drinking Water,Installation of Deep Borewell with Solar RO Purification Plant at Dibrugarh,"Dibrugarh Sub-Division, Assam",1400000,1330000,1020000,1380000,2024-06-09,2024-08-08,2024-08-26,2025-04-01,Completed,DRDA Dibrugarh,Southern Civil Builders Ltd,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-MA-0177,Maharashtra,Nashik,Nashik,Hemant Godse,18th Lok Sabha,Healthcare,Construction of New Primary Health Sub-Centre Building with Staff Quarters at Nashik,"Nashik Sub-Division, Maharashtra",2570000,2300000,0.0,0.0,2024-08-31,,,,Recommended,Thane Zilla Parishad,Southern Civil Builders Ltd,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-MA-0178,Madhya Pradesh,Gwalior,Gwalior,Vivek Narayan Shejwalkar,18th Lok Sabha,Road & Connectivity,Bituminous Surface Renewal of Village Approach Road to National Highway at Gwalior,"Gwalior Sub-Division, Madhya Pradesh",5350000,5260000,5190000,5200000,2024-12-15,2025-01-22,2025-02-19,2025-10-21,Completed,Bhopal Municipal Corporation,Southern Civil Builders Ltd,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-RA-0179,Rajasthan,Kota,Kota,Om Birla,18th Lok Sabha,Solar & Renewable Energy,Installation of Integrated Solar Street Lighting Network in Un-electrified Hamlets at Kota,"Kota Sub-Division, Rajasthan",1070000,940000,770000,970000,2024-03-06,2024-05-17,2024-06-21,2024-11-20,Completed,DRDA Udaipur,,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-WE-0180,West Bengal,Howrah,Howrah,Prasun Banerjee,18th Lok Sabha,Community Infrastructure,Development of Rural Haat and Market Shed with Raised Concrete Platform at Howrah,"Howrah Sub-Division, West Bengal",1420000,1400000,1210000,1420000,2024-05-25,2024-08-13,2024-09-23,2025-03-03,Completed,Kolkata Municipal Corporation,,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
